Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.7341418293936279	0.7050834991838115	0.7632001596034443	696
AUG	0.7815642252484357	0.747292626524719	0.8158358239721525	659
AXO	0.8351358305452903	0.7991675642248615	0.8711040968657191	698
CHL	0.8107020180334908	0.7340259668468582	0.8873780692201235	682
FIS	0.7641052331892026	0.728080263311292	0.8001302030671132	653
FOX	0.8429375995837803	0.8206613159022726	0.865213883265288	675
GEN	0.7248598328572939	0.6808787513689664	0.7688409143456215	687
KAN	0.6586956521739131	0.5306422485510723	0.7867490557967539	117
STR	0.7132098765432098	0.6735903916207608	0.7528293614656587	401
TET	0.7410071942446044	0.6676164697131378	0.8143979187760709	695
TIO	0.8352106885919834	0.7993353253702298	0.8710860518137371	698
all	0.7790134470554575	0.7630304545077617	0.7949964396031532	6661
