Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.731726618705036	0.7227119405775062	0.7407412968325657	697
AUG	0.7982997918112422	0.7025304156353249	0.8940691679871595	659
AXO	0.8417757719290406	0.8015577543503979	0.8819937895076834	695
CHL	0.8162015171031918	0.743996216013583	0.8884068181928005	680
FIS	0.7851908396946564	0.7493035767898949	0.8210781025994179	652
FOX	0.8246949891067539	0.7803006988327598	0.869089279380748	679
GEN	0.7383581931661907	0.7189122306906771	0.7578041556417042	688
KAN	0.6637681159420289	0.500121227141815	0.8274150047422428	116
STR	0.7562037037037037	0.6922657132752068	0.8201416941322006	402
TET	0.7374511819116136	0.7062306507699989	0.7686717130532283	697
TIO	0.839136690647482	0.788017769492886	0.8902556118020779	696
all	0.7859152851275882	0.7679221107615196	0.8039084594936569	6661
