Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.6853442959917779	0.6541581771818535	0.7165304148017023	696
AUG	0.7590162950749532	0.7341083288361738	0.7839242613137325	660
AXO	0.7528674203494348	0.7331738782392183	0.7725609624596512	696
CHL	0.7686560755689136	0.7238500612715211	0.8134620898663061	683
FIS	0.750538799622769	0.7008519817596556	0.8002256174858825	653
FOX	0.7407565115598478	0.7014731208651469	0.7800399022545487	675
GEN	0.7354431275671307	0.6916700322661117	0.7792162228681497	688
KAN	0.6402173913043478	0.5319938481880735	0.7484409344206222	117
STR	0.743530629785904	0.6785719933682961	0.8084892662035119	402
TET	0.7582266112575777	0.7287470746555277	0.7877061478596278	695
TIO	0.768705035971223	0.7461728572957931	0.7912372146466529	696
all	0.7444819538217887	0.7337017913255443	0.7552621163180332	6661
