Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.729543125378117	0.6846352946108119	0.7744509561454223	699
AUG	0.7920425630349295	0.7538121183294358	0.8302730077404231	659
AXO	0.7959917780061664	0.777821077085819	0.8141624789265137	696
CHL	0.7667300383251435	0.6535968067632983	0.8798632698869887	681
FIS	0.7515151515151515	0.6971615544521103	0.8058687485781927	656
FOX	0.7993255942509674	0.7583847287089986	0.8402664597929361	673
GEN	0.706516449804295	0.6455722767754177	0.7674606228331722	688
KAN	0.638768115942029	0.5616858377775252	0.7158503941065327	119
STR	0.7405246913580247	0.6589738900215947	0.8220754926944547	401
TET	0.7410019810238765	0.6877560721890672	0.7942478898586858	695
TIO	0.8069127306850173	0.7790525656878082	0.8347728956822265	694
all	0.7615949032303121	0.7418928377061371	0.7812969687544871	6661
