protein1 protein2 combined_score
99287.STM0003 99287.STM4100 483
99287.STM4100 99287.STM0003 483
99287.STM0003 99287.STM4101 323
99287.STM4101 99287.STM0003 323
99287.STM0003 99287.STM4188 950
99287.STM4188 99287.STM0003 950
99287.STM0003 99287.STM4220 323
99287.STM4220 99287.STM0003 323
99287.STM0004 99287.STM0078 174
99287.STM0078 99287.STM0004 174
99287.STM0004 99287.STM0222 197
99287.STM0222 99287.STM0004 197
99287.STM0004 99287.STM0328 171
99287.STM0328 99287.STM0004 171
99287.STM0004 99287.STM0458 384
99287.STM0458 99287.STM0004 384
99287.STM0004 99287.STM0648 212
99287.STM0648 99287.STM0004 212
99287.STM0004 99287.STM0934 727
99287.STM0934 99287.STM0004 727
99287.STM0004 99287.STM0977 722
99287.STM0977 99287.STM0004 722
99287.STM0004 99287.STM1000 340
99287.STM1000 99287.STM0004 340
99287.STM0004 99287.STM1002 554
99287.STM1002 99287.STM0004 554
99287.STM0004 99287.STM1004 201
99287.STM1004 99287.STM0004 201
99287.STM0004 99287.STM1221 164
99287.STM1221 99287.STM0004 164
99287.STM0004 99287.STM1351 174
99287.STM1351 99287.STM0004 174
99287.STM0004 99287.STM1486 171
99287.STM1486 99287.STM0004 171
99287.STM0004 99287.STM1505 174
99287.STM1505 99287.STM0004 174
99287.STM0004 99287.STM1562 215
99287.STM1562 99287.STM0004 215
99287.STM0004 99287.STM1784 214
99287.STM1784 99287.STM0004 214
99287.STM0004 99287.STM1928 211
99287.STM1928 99287.STM0004 211
99287.STM0004 99287.STM2197 269
99287.STM2197 99287.STM0004 269
99287.STM0004 99287.STM2430 384
99287.STM2430 99287.STM0004 384
99287.STM0004 99287.STM2440 384
99287.STM2440 99287.STM0004 384
99287.STM0004 99287.STM2569 269
99287.STM2569 99287.STM0004 269
99287.STM0004 99287.STM3244 878
99287.STM3244 99287.STM0004 878
99287.STM0004 99287.STM3612 207
99287.STM3612 99287.STM0004 207
99287.STM0004 99287.STM3828 174
99287.STM3828 99287.STM0004 174
99287.STM0004 99287.STM3905 952
99287.STM3905 99287.STM0004 952
99287.STM0004 99287.STM3996 816
99287.STM3996 99287.STM0004 816
99287.STM0004 99287.STM4424 158
99287.STM4424 99287.STM0004 158
99287.STM0004 99287.STM4427 158
99287.STM4427 99287.STM0004 158
99287.STM0004 99287.STM4436 158
99287.STM4436 99287.STM0004 158
99287.STM0004 99287.STM4489 204
99287.STM4489 99287.STM0004 204
99287.STM0004 99287.STM4500 167
99287.STM4500 99287.STM0004 167
99287.STM0004 99287.STM4578 269
99287.STM4578 99287.STM0004 269
99287.STM0005 99287.STM0230 226
99287.STM0230 99287.STM0005 226
99287.STM0005 99287.STM0404 171
99287.STM0404 99287.STM0005 171
99287.STM0005 99287.STM0589 254
99287.STM0589 99287.STM0005 254
99287.STM0005 99287.STM1548 171
99287.STM1548 99287.STM0005 171
99287.STM0005 99287.STM1642 183
99287.STM1642 99287.STM0005 183
99287.STM0005 99287.STM2080 252
99287.STM2080 99287.STM0005 252
99287.STM0005 99287.STM2084 180
99287.STM2084 99287.STM0005 180
99287.STM0005 99287.STM2105 180
99287.STM2105 99287.STM0005 180
99287.STM0005 99287.STM2109 237
99287.STM2109 99287.STM0005 237
99287.STM0005 99287.STM2365 220
99287.STM2365 99287.STM0005 220
99287.STM0006 99287.STM2648 171
99287.STM2648 99287.STM0006 171
99287.STM0006 99287.STM3506 172
99287.STM3506 99287.STM0006 172
99287.STM0007 99287.STM0110 172
99287.STM0110 99287.STM0007 172
99287.STM0007 99287.STM0128 177
99287.STM0128 99287.STM0007 177
99287.STM0007 99287.STM0131 170
99287.STM0131 99287.STM0007 170
99287.STM0007 99287.STM0152 939
99287.STM0152 99287.STM0007 939
99287.STM0007 99287.STM0166 372
99287.STM0166 99287.STM0007 372
99287.STM0007 99287.STM0182 175
99287.STM0182 99287.STM0007 175
99287.STM0007 99287.STM0190 174
99287.STM0190 99287.STM0007 174
99287.STM0007 99287.STM0330 172
99287.STM0330 99287.STM0007 172
99287.STM0007 99287.STM0393 386
99287.STM0393 99287.STM0007 386
99287.STM0007 99287.STM0431 168
99287.STM0431 99287.STM0007 168
99287.STM0007 99287.STM0572 396
99287.STM0572 99287.STM0007 396
99287.STM0007 99287.STM0573 384
99287.STM0573 99287.STM0007 384
99287.STM0007 99287.STM0643 458
99287.STM0643 99287.STM0007 458
99287.STM0007 99287.STM0682 386
99287.STM0682 99287.STM0007 386
99287.STM0007 99287.STM0685 735
99287.STM0685 99287.STM0007 735
99287.STM0007 99287.STM0698 554
99287.STM0698 99287.STM0007 554
99287.STM0007 99287.STM0772 666
99287.STM0772 99287.STM0007 666
99287.STM0007 99287.STM1203 735
99287.STM1203 99287.STM0007 735
99287.STM0007 99287.STM1220 386
99287.STM1220 99287.STM0007 386
99287.STM0007 99287.STM1289 484
99287.STM1289 99287.STM0007 484
99287.STM0007 99287.STM1290 759
99287.STM1290 99287.STM0007 759
99287.STM0007 99287.STM1318 278
99287.STM1318 99287.STM0007 278
99287.STM0007 99287.STM1326 773
99287.STM1326 99287.STM0007 773
99287.STM0007 99287.STM1349 922
99287.STM1349 99287.STM0007 922
99287.STM0007 99287.STM1378 855
99287.STM1378 99287.STM0007 855
99287.STM0007 99287.STM1433 372
99287.STM1433 99287.STM0007 372
99287.STM0007 99287.STM1469 168
99287.STM1469 99287.STM0007 168
99287.STM0007 99287.STM1488 386
99287.STM1488 99287.STM0007 386
99287.STM0007 99287.STM1651 397
99287.STM1651 99287.STM0007 397
99287.STM0007 99287.STM1712 160
99287.STM1712 99287.STM0007 160
99287.STM0007 99287.STM1729 173
99287.STM1729 99287.STM0007 173
99287.STM0007 99287.STM1780 484
99287.STM1780 99287.STM0007 484
99287.STM0007 99287.STM1781 371
99287.STM1781 99287.STM0007 371
99287.STM0007 99287.STM1888 855
99287.STM1888 99287.STM0007 855
99287.STM0007 99287.STM2081 191
99287.STM2081 99287.STM0007 191
99287.STM0007 99287.STM2083 207
99287.STM2083 99287.STM0007 207
99287.STM0007 99287.STM2104 207
99287.STM2104 99287.STM0007 207
99287.STM0007 99287.STM2117 162
99287.STM2117 99287.STM0007 162
99287.STM0007 99287.STM2122 323
99287.STM2122 99287.STM0007 323
99287.STM0007 99287.STM2141 851
99287.STM2141 99287.STM0007 851
99287.STM0007 99287.STM2261 457
99287.STM2261 99287.STM0007 457
99287.STM0007 99287.STM2296 458
99287.STM2296 99287.STM0007 458
99287.STM0007 99287.STM2321 397
99287.STM2321 99287.STM0007 397
99287.STM0007 99287.STM2340 983
99287.STM2340 99287.STM0007 983
99287.STM0007 99287.STM2341 892
99287.STM2341 99287.STM0007 892
99287.STM0007 99287.STM2403 927
99287.STM2403 99287.STM0007 927
99287.STM0007 99287.STM2405 484
99287.STM2405 99287.STM0007 484
99287.STM0007 99287.STM2432 581
99287.STM2432 99287.STM0007 581
99287.STM0007 99287.STM2433 852
99287.STM2433 99287.STM0007 852
99287.STM0007 99287.STM2474 988
99287.STM2474 99287.STM0007 988
99287.STM0007 99287.STM2526 171
99287.STM2526 99287.STM0007 171
99287.STM0007 99287.STM2527 457
99287.STM2527 99287.STM0007 457
99287.STM0007 99287.STM2536 244
99287.STM2536 99287.STM0007 244
99287.STM0007 99287.STM2576 457
99287.STM2576 99287.STM0007 457
99287.STM0007 99287.STM2758 851
99287.STM2758 99287.STM0007 851
99287.STM0007 99287.STM2792 160
99287.STM2792 99287.STM0007 160
99287.STM0007 99287.STM2829 371
99287.STM2829 99287.STM0007 371
99287.STM0007 99287.STM2848 397
99287.STM2848 99287.STM0007 397
99287.STM0007 99287.STM2952 737
99287.STM2952 99287.STM0007 737
99287.STM0007 99287.STM3063 154
99287.STM3063 99287.STM0007 154
99287.STM0007 99287.STM3068 589
99287.STM3068 99287.STM0007 589
99287.STM0007 99287.STM3070 759
99287.STM3070 99287.STM0007 759
99287.STM0007 99287.STM3076 950
99287.STM3076 99287.STM0007 950
99287.STM0007 99287.STM3207 597
99287.STM3207 99287.STM0007 597
99287.STM0007 99287.STM3253 589
99287.STM3253 99287.STM0007 589
99287.STM0007 99287.STM3294 207
99287.STM3294 99287.STM0007 207
99287.STM0007 99287.STM3336 838
99287.STM3336 99287.STM0007 838
99287.STM0007 99287.STM3359 774
99287.STM3359 99287.STM0007 774
99287.STM0007 99287.STM3601 396
99287.STM3601 99287.STM0007 396
99287.STM0007 99287.STM3613 381
99287.STM3613 99287.STM0007 381
99287.STM0007 99287.STM3681 386
99287.STM3681 99287.STM0007 386
99287.STM0007 99287.STM3704 467
99287.STM3704 99287.STM0007 467
99287.STM0007 99287.STM3780 589
99287.STM3780 99287.STM0007 589
99287.STM0007 99287.STM3861 384
99287.STM3861 99287.STM0007 384
99287.STM0007 99287.STM3915 212
99287.STM3915 99287.STM0007 212
99287.STM0007 99287.STM4062 957
99287.STM4062 99287.STM0007 957
99287.STM0007 99287.STM4078 839
99287.STM4078 99287.STM0007 839
99287.STM0007 99287.STM4081 552
99287.STM4081 99287.STM0007 552
99287.STM0007 99287.STM4085 875
99287.STM4085 99287.STM0007 875
99287.STM0007 99287.STM4110 581
99287.STM4110 99287.STM0007 581
99287.STM0007 99287.STM4221 785
99287.STM4221 99287.STM0007 785
99287.STM0007 99287.STM4229 226
99287.STM4229 99287.STM0007 226
99287.STM0007 99287.STM4329 160
99287.STM4329 99287.STM0007 160
99287.STM0007 99287.STM4366 153
99287.STM4366 99287.STM0007 153
99287.STM0007 99287.STM4415 751
99287.STM4415 99287.STM0007 751
99287.STM0007 99287.STM4539 384
99287.STM4539 99287.STM0007 384
99287.STM0007 99287.STM4540 396
99287.STM4540 99287.STM0007 396
99287.STM0007 99287.STM4567 564
99287.STM4567 99287.STM0007 564
99287.STM0007 99287.STM4585 766
99287.STM4585 99287.STM0007 766
99287.STM0008 99287.STM0421 173
99287.STM0421 99287.STM0008 173
99287.STM0008 99287.STM0846 789
99287.STM0846 99287.STM0008 789
99287.STM0008 99287.STM1136 193
99287.STM1136 99287.STM0008 193
99287.STM0008 99287.STM1322 490
99287.STM1322 99287.STM0008 490
99287.STM0008 99287.STM1577 177
