Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.7739621555035606	0.7282497110610652	0.8196745999460561	699
AUG	0.8152046493749989	0.7621165070112945	0.8682927917387033	660
AXO	0.8280472764645426	0.7975978445210021	0.858496708408083	698
CHL	0.7723379132674968	0.7084407008144671	0.8362351257205265	681
FIS	0.7811039342337052	0.7295750482719309	0.8326328201954795	653
FOX	0.8340776509608817	0.807700510158915	0.8604547917628484	675
GEN	0.7313818831245605	0.6795395918850513	0.7832241743640698	685
KAN	0.6001304347826086	0.4483071874473297	0.7519536821178876	118
STR	0.7209177215189874	0.6702260365558551	0.7716094064821196	398
TET	0.7837307297019527	0.7338768822203741	0.8335845771835313	698
TIO	0.833360739979445	0.8125127634970871	0.854208716461803	696
all	0.7869672373048217	0.7696101157676702	0.8043243588419731	6661
