Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.7739465570400823	0.7125145536897416	0.835378560390423	699
AUG	0.8424242424242424	0.7802413561556962	0.9046071286927886	660
AXO	0.8377444628148412	0.7791550252370695	0.8963339003926128	697
CHL	0.8516852726492058	0.8091368266968139	0.8942337186015977	681
FIS	0.7758191426893717	0.7319306770774509	0.8197076083012925	651
FOX	0.8509694989106753	0.8203939547463696	0.881545043074981	678
GEN	0.7605839416058394	0.7338512216927217	0.7873166615189572	685
KAN	0.6615942028985506	0.5762150602612169	0.7469733455358843	118
STR	0.7743354430379747	0.726717015245122	0.8219538708308275	399
TET	0.7442343268242549	0.7159776353577122	0.7724910182907977	696
TIO	0.8378869279361763	0.8030566553797652	0.8727172004925873	697
all	0.8036351430199892	0.7887676335957439	0.8185026524442345	6661
