Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.7507605344295992	0.7040621246828799	0.7974589441763186	698
AUG	0.8393939393939395	0.8093518424173513	0.8694360363705277	660
AXO	0.8463103802672147	0.8175309069203013	0.8750898536141282	696
CHL	0.8624409617861744	0.8150603713785525	0.9098215521937962	683
FIS	0.7856136230182031	0.7681117872145753	0.803115458821831	653
FOX	0.8444444444444444	0.8209953001623458	0.8678935887265431	675
GEN	0.7562043795620438	0.6762626904498524	0.8361460686742351	685
KAN	0.6713768115942028	0.5651469407428705	0.7776066824455351	119
STR	0.7238076261915924	0.670287963641344	0.7773272887418409	402
TET	0.7622875612553435	0.7193648105220285	0.8052103119886584	694
TIO	0.8476218776531571	0.8094059191058799	0.8858378362004343	696
all	0.8027330030705875	0.7855044934081375	0.8199615127330374	6661
