Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.7636793422404933	0.7319826305770216	0.7953760539039649	698
AUG	0.8256494810934345	0.7753254510355677	0.8759735111513013	660
AXO	0.8234705852339406	0.7818344244440409	0.8651067460238402	697
CHL	0.8183233147273506	0.7498116628583991	0.8868349665963022	683
FIS	0.7833705226071638	0.7489162381376845	0.8178248070766431	651
FOX	0.8158932461873638	0.7637619260798667	0.8680245662948609	679
GEN	0.7318840579710144	0.6643728033057434	0.7993953126362854	686
KAN	0.5891304347826087	0.5033227163928566	0.6749381531723608	117
STR	0.7310443037974684	0.6952992923986541	0.7667893151962828	398
TET	0.7714947048572323	0.7226066883549815	0.820382721359483	696
TIO	0.8204316546762591	0.8021073647588185	0.8387559445936997	696
all	0.7874190394445459	0.7672649510608448	0.8075731278282471	6661
