protein1 protein2 combined_score
272620.KPN_00003 272620.KPN_00039 198
272620.KPN_00039 272620.KPN_00003 198
272620.KPN_00003 272620.KPN_00255 327
272620.KPN_00255 272620.KPN_00003 327
272620.KPN_00003 272620.KPN_00409 289
272620.KPN_00409 272620.KPN_00003 289
272620.KPN_00003 272620.KPN_00440 567
272620.KPN_00440 272620.KPN_00003 567
272620.KPN_00003 272620.KPN_00577 327
272620.KPN_00577 272620.KPN_00003 327
272620.KPN_00003 272620.KPN_00630 158
272620.KPN_00630 272620.KPN_00003 158
272620.KPN_00003 272620.KPN_01094 816
272620.KPN_01094 272620.KPN_00003 816
272620.KPN_00003 272620.KPN_01511 806
272620.KPN_01511 272620.KPN_00003 806
272620.KPN_00003 272620.KPN_01615 950
272620.KPN_01615 272620.KPN_00003 950
272620.KPN_00003 272620.KPN_01802 327
272620.KPN_01802 272620.KPN_00003 327
272620.KPN_00003 272620.KPN_02152 652
272620.KPN_02152 272620.KPN_00003 652
272620.KPN_00003 272620.KPN_02462 647
272620.KPN_02462 272620.KPN_00003 647
272620.KPN_00003 272620.KPN_02761 289
272620.KPN_02761 272620.KPN_00003 289
272620.KPN_00003 272620.KPN_02769 289
272620.KPN_02769 272620.KPN_00003 289
272620.KPN_00003 272620.KPN_02865 158
272620.KPN_02865 272620.KPN_00003 158
272620.KPN_00003 272620.KPN_03060 202
272620.KPN_03060 272620.KPN_00003 202
272620.KPN_00003 272620.KPN_03409 289
272620.KPN_03409 272620.KPN_00003 289
272620.KPN_00003 272620.KPN_03410 394
272620.KPN_03410 272620.KPN_00003 394
272620.KPN_00003 272620.KPN_03428 394
272620.KPN_03428 272620.KPN_00003 394
272620.KPN_00003 272620.KPN_03500 676
272620.KPN_03500 272620.KPN_00003 676
272620.KPN_00003 272620.KPN_03792 192
272620.KPN_03792 272620.KPN_00003 192
272620.KPN_00003 272620.KPN_03825 327
272620.KPN_03825 272620.KPN_00003 327
272620.KPN_00003 272620.KPN_04233 394
272620.KPN_04233 272620.KPN_00003 394
272620.KPN_00003 272620.KPN_04234 323
272620.KPN_04234 272620.KPN_00003 323
272620.KPN_00003 272620.KPN_04269 816
272620.KPN_04269 272620.KPN_00003 816
272620.KPN_00003 272620.KPN_04284 212
272620.KPN_04284 272620.KPN_00003 212
272620.KPN_00003 272620.KPN_04325 652
272620.KPN_04325 272620.KPN_00003 652
272620.KPN_00003 272620.KPN_04399 950
272620.KPN_04399 272620.KPN_00003 950
272620.KPN_00003 272620.KPN_04412 323
272620.KPN_04412 272620.KPN_00003 323
272620.KPN_00003 272620.KPN_04414 567
272620.KPN_04414 272620.KPN_00003 567
272620.KPN_00003 272620.KPN_04453 158
272620.KPN_04453 272620.KPN_00003 158
272620.KPN_00004 272620.KPN_00188 197
272620.KPN_00188 272620.KPN_00004 197
272620.KPN_00004 272620.KPN_00205 158
272620.KPN_00205 272620.KPN_00004 158
272620.KPN_00004 272620.KPN_00409 313
272620.KPN_00409 272620.KPN_00004 313
272620.KPN_00004 272620.KPN_00674 212
272620.KPN_00674 272620.KPN_00004 212
272620.KPN_00004 272620.KPN_00903 727
272620.KPN_00903 272620.KPN_00004 727
272620.KPN_00004 272620.KPN_00935 722
272620.KPN_00935 272620.KPN_00004 722
272620.KPN_00004 272620.KPN_00961 340
272620.KPN_00961 272620.KPN_00004 340
272620.KPN_00004 272620.KPN_00963 554
272620.KPN_00963 272620.KPN_00004 554
272620.KPN_00004 272620.KPN_00967 201
272620.KPN_00967 272620.KPN_00004 201
272620.KPN_00004 272620.KPN_01117 164
272620.KPN_01117 272620.KPN_00004 164
272620.KPN_00004 272620.KPN_01572 194
272620.KPN_01572 272620.KPN_00004 194
272620.KPN_00004 272620.KPN_02243 214
272620.KPN_02243 272620.KPN_00004 214
272620.KPN_00004 272620.KPN_02295 878
272620.KPN_02295 272620.KPN_00004 878
272620.KPN_00004 272620.KPN_02392 211
272620.KPN_02392 272620.KPN_00004 211
272620.KPN_00004 272620.KPN_02761 313
272620.KPN_02761 272620.KPN_00004 313
272620.KPN_00004 272620.KPN_02769 313
272620.KPN_02769 272620.KPN_00004 313
272620.KPN_00004 272620.KPN_02885 355
272620.KPN_02885 272620.KPN_00004 355
272620.KPN_00004 272620.KPN_03319 158
272620.KPN_03319 272620.KPN_00004 158
272620.KPN_00004 272620.KPN_03409 313
272620.KPN_03409 272620.KPN_00004 313
272620.KPN_00004 272620.KPN_03484 215
272620.KPN_03484 272620.KPN_00004 215
272620.KPN_00004 272620.KPN_03876 207
272620.KPN_03876 272620.KPN_00004 207
272620.KPN_00004 272620.KPN_04169 816
272620.KPN_04169 272620.KPN_00004 816
272620.KPN_00004 272620.KPN_04271 952
272620.KPN_04271 272620.KPN_00004 952
272620.KPN_00004 272620.KPN_04843 355
272620.KPN_04843 272620.KPN_00004 355
272620.KPN_00006 272620.KPN_00196 226
272620.KPN_00196 272620.KPN_00006 226
272620.KPN_00006 272620.KPN_00356 194
272620.KPN_00356 272620.KPN_00006 194
272620.KPN_00006 272620.KPN_01483 183
272620.KPN_01483 272620.KPN_00006 183
272620.KPN_00006 272620.KPN_02493 252
272620.KPN_02493 272620.KPN_00006 252
272620.KPN_00006 272620.KPN_02705 220
272620.KPN_02705 272620.KPN_00006 220
272620.KPN_00007 272620.KPN_02904 193
272620.KPN_02904 272620.KPN_00007 193
272620.KPN_00007 272620.KPN_03779 240
272620.KPN_03779 272620.KPN_00007 240
272620.KPN_00008 272620.KPN_00077 178
272620.KPN_00077 272620.KPN_00008 178
272620.KPN_00008 272620.KPN_00078 154
272620.KPN_00078 272620.KPN_00008 154
272620.KPN_00008 272620.KPN_00094 170
272620.KPN_00094 272620.KPN_00008 170
272620.KPN_00008 272620.KPN_00118 867
272620.KPN_00118 272620.KPN_00008 867
272620.KPN_00008 272620.KPN_00127 316
272620.KPN_00127 272620.KPN_00008 316
272620.KPN_00008 272620.KPN_00141 161
272620.KPN_00141 272620.KPN_00008 161
272620.KPN_00008 272620.KPN_00164 159
272620.KPN_00164 272620.KPN_00008 159
272620.KPN_00008 272620.KPN_00349 338
272620.KPN_00349 272620.KPN_00008 338
272620.KPN_00008 272620.KPN_00427 170
272620.KPN_00427 272620.KPN_00008 170
272620.KPN_00008 272620.KPN_00547 400
272620.KPN_00547 272620.KPN_00008 400
272620.KPN_00008 272620.KPN_00548 214
272620.KPN_00548 272620.KPN_00008 214
272620.KPN_00008 272620.KPN_00593 812
272620.KPN_00593 272620.KPN_00008 812
272620.KPN_00008 272620.KPN_00594 812
272620.KPN_00594 272620.KPN_00008 812
272620.KPN_00008 272620.KPN_00670 407
272620.KPN_00670 272620.KPN_00008 407
272620.KPN_00008 272620.KPN_00700 592
272620.KPN_00700 272620.KPN_00008 592
272620.KPN_00008 272620.KPN_00711 477
272620.KPN_00711 272620.KPN_00008 477
272620.KPN_00008 272620.KPN_00768 561
272620.KPN_00768 272620.KPN_00008 561
272620.KPN_00008 272620.KPN_00828 809
272620.KPN_00828 272620.KPN_00008 809
272620.KPN_00008 272620.KPN_00829 812
272620.KPN_00829 272620.KPN_00008 812
272620.KPN_00008 272620.KPN_01099 592
272620.KPN_01099 272620.KPN_00008 592
272620.KPN_00008 272620.KPN_01120 349
272620.KPN_01120 272620.KPN_00008 349
272620.KPN_00008 272620.KPN_01127 598
272620.KPN_01127 272620.KPN_00008 598
272620.KPN_00008 272620.KPN_01150 154
272620.KPN_01150 272620.KPN_00008 154
272620.KPN_00008 272620.KPN_01196 408
272620.KPN_01196 272620.KPN_00008 408
272620.KPN_00008 272620.KPN_01197 217
272620.KPN_01197 272620.KPN_00008 217
272620.KPN_00008 272620.KPN_01236 246
272620.KPN_01236 272620.KPN_00008 246
272620.KPN_00008 272620.KPN_01446 284
272620.KPN_01446 272620.KPN_00008 284
272620.KPN_00008 272620.KPN_01502 217
272620.KPN_01502 272620.KPN_00008 217
272620.KPN_00008 272620.KPN_01512 338
272620.KPN_01512 272620.KPN_00008 338
272620.KPN_00008 272620.KPN_01632 596
272620.KPN_01632 272620.KPN_00008 596
272620.KPN_00008 272620.KPN_01683 338
272620.KPN_01683 272620.KPN_00008 338
272620.KPN_00008 272620.KPN_01702 449
272620.KPN_01702 272620.KPN_00008 449
272620.KPN_00008 272620.KPN_01710 217
272620.KPN_01710 272620.KPN_00008 217
272620.KPN_00008 272620.KPN_01784 407
272620.KPN_01784 272620.KPN_00008 407
272620.KPN_00008 272620.KPN_01992 320
272620.KPN_01992 272620.KPN_00008 320
272620.KPN_00008 272620.KPN_02133 769
272620.KPN_02133 272620.KPN_00008 769
272620.KPN_00008 272620.KPN_02160 856
272620.KPN_02160 272620.KPN_00008 856
272620.KPN_00008 272620.KPN_02183 624
272620.KPN_02183 272620.KPN_00008 624
272620.KPN_00008 272620.KPN_02238 408
272620.KPN_02238 272620.KPN_00008 408
272620.KPN_00008 272620.KPN_02369 769
272620.KPN_02369 272620.KPN_00008 769
272620.KPN_00008 272620.KPN_02499 158
272620.KPN_02499 272620.KPN_00008 158
272620.KPN_00008 272620.KPN_02519 285
272620.KPN_02519 272620.KPN_00008 285
272620.KPN_00008 272620.KPN_02549 807
272620.KPN_02549 272620.KPN_00008 807
272620.KPN_00008 272620.KPN_02671 284
272620.KPN_02671 272620.KPN_00008 284
272620.KPN_00008 272620.KPN_02738 860
272620.KPN_02738 272620.KPN_00008 860
272620.KPN_00008 272620.KPN_02740 408
272620.KPN_02740 272620.KPN_00008 408
272620.KPN_00008 272620.KPN_02763 516
272620.KPN_02763 272620.KPN_00008 516
272620.KPN_00008 272620.KPN_02764 811
272620.KPN_02764 272620.KPN_00008 811
272620.KPN_00008 272620.KPN_02799 598
272620.KPN_02799 272620.KPN_00008 598
272620.KPN_00008 272620.KPN_02855 229
272620.KPN_02855 272620.KPN_00008 229
272620.KPN_00008 272620.KPN_02887 553
272620.KPN_02887 272620.KPN_00008 553
272620.KPN_00008 272620.KPN_02960 805
272620.KPN_02960 272620.KPN_00008 805
272620.KPN_00008 272620.KPN_03031 312
272620.KPN_03031 272620.KPN_00008 312
272620.KPN_00008 272620.KPN_03057 284
272620.KPN_03057 272620.KPN_00008 284
272620.KPN_00008 272620.KPN_03123 602
272620.KPN_03123 272620.KPN_00008 602
272620.KPN_00008 272620.KPN_03354 338
272620.KPN_03354 272620.KPN_00008 338
272620.KPN_00008 272620.KPN_03356 217
272620.KPN_03356 272620.KPN_00008 217
272620.KPN_00008 272620.KPN_03357 598
272620.KPN_03357 272620.KPN_00008 598
272620.KPN_00008 272620.KPN_03463 549
272620.KPN_03463 272620.KPN_00008 549
272620.KPN_00008 272620.KPN_03497 516
272620.KPN_03497 272620.KPN_00008 516
272620.KPN_00008 272620.KPN_03503 774
272620.KPN_03503 272620.KPN_00008 774
272620.KPN_00008 272620.KPN_03543 338
272620.KPN_03543 272620.KPN_00008 338
272620.KPN_00008 272620.KPN_03586 297
272620.KPN_03586 272620.KPN_00008 297
272620.KPN_00008 272620.KPN_03644 596
272620.KPN_03644 272620.KPN_00008 596
272620.KPN_00008 272620.KPN_03877 344
272620.KPN_03877 272620.KPN_00008 344
272620.KPN_00008 272620.KPN_03956 400
272620.KPN_03956 272620.KPN_00008 400
272620.KPN_00008 272620.KPN_04001 788
272620.KPN_04001 272620.KPN_00008 788
272620.KPN_00008 272620.KPN_04005 349
272620.KPN_04005 272620.KPN_00008 349
272620.KPN_00008 272620.KPN_04015 338
272620.KPN_04015 272620.KPN_00008 338
272620.KPN_00008 272620.KPN_04086 338
272620.KPN_04086 272620.KPN_00008 338
272620.KPN_00008 272620.KPN_04134 214
272620.KPN_04134 272620.KPN_00008 214
272620.KPN_00008 272620.KPN_04193 601
272620.KPN_04193 272620.KPN_00008 601
272620.KPN_00008 272620.KPN_04196 338
272620.KPN_04196 272620.KPN_00008 338
272620.KPN_00008 272620.KPN_04223 863
272620.KPN_04223 272620.KPN_00008 863
272620.KPN_00008 272620.KPN_04282 182
272620.KPN_04282 272620.KPN_00008 182
272620.KPN_00008 272620.KPN_04413 647
272620.KPN_04413 272620.KPN_00008 647
272620.KPN_00008 272620.KPN_04423 170
272620.KPN_04423 272620.KPN_00008 170
272620.KPN_00008 272620.KPN_04626 602
272620.KPN_04626 272620.KPN_00008 602
272620.KPN_00008 272620.KPN_04806 214
272620.KPN_04806 272620.KPN_00008 214
272620.KPN_00008 272620.KPN_04807 400
272620.KPN_04807 272620.KPN_00008 400
272620.KPN_00008 272620.KPN_04837 449
272620.KPN_04837 272620.KPN_00008 449
272620.KPN_00008 272620.KPN_04850 696
272620.KPN_04850 272620.KPN_00008 696
272620.KPN_00009 272620.KPN_00371 157
272620.KPN_00371 272620.KPN_00009 157
272620.KPN_00009 272620.KPN_00860 789
272620.KPN_00860 272620.KPN_00009 789
272620.KPN_00009 272620.KPN_01057 193
272620.KPN_01057 272620.KPN_00009 193
272620.KPN_00009 272620.KPN_01108 437
272620.KPN_01108 272620.KPN_00009 437
272620.KPN_00009 272620.KPN_01241 490
272620.KPN_01241 272620.KPN_00009 490
272620.KPN_00009 272620.KPN_01880 177
272620.KPN_01880 272620.KPN_00009 177
272620.KPN_00009 272620.KPN_02214 177
272620.KPN_02214 272620.KPN_00009 177
272620.KPN_00009 272620.KPN_02378 242
272620.KPN_02378 272620.KPN_00009 242
272620.KPN_00009 272620.KPN_02640 326
272620.KPN_02640 272620.KPN_00009 326
272620.KPN_00009 272620.KPN_02824 194
272620.KPN_02824 272620.KPN_00009 194
272620.KPN_00009 272620.KPN_03063 221
272620.KPN_03063 272620.KPN_00009 221
272620.KPN_00009 272620.KPN_03243 157
272620.KPN_03243 272620.KPN_00009 157
272620.KPN_00009 272620.KPN_03311 157
272620.KPN_03311 272620.KPN_00009 157
272620.KPN_00009 272620.KPN_04109 629
272620.KPN_04109 272620.KPN_00009 629
272620.KPN_00009 272620.KPN_04166 228
272620.KPN_04166 272620.KPN_00009 228
272620.KPN_00009 272620.KPN_04255 437
272620.KPN_04255 272620.KPN_00009 437
272620.KPN_00010 272620.KPN_03932 365
272620.KPN_03932 272620.KPN_00010 365
272620.KPN_00011 272620.KPN_04478 637
272620.KPN_04478 272620.KPN_00011 637
272620.KPN_00012 272620.KPN_00341 159
272620.KPN_00341 272620.KPN_00012 159
272620.KPN_00012 272620.KPN_01198 229
272620.KPN_01198 272620.KPN_00012 229
272620.KPN_00012 272620.KPN_04741 159
272620.KPN_04741 272620.KPN_00012 159
272620.KPN_00014 272620.KPN_00015 999
272620.KPN_00015 272620.KPN_00014 999
272620.KPN_00014 272620.KPN_00024 303
272620.KPN_00024 272620.KPN_00014 303
272620.KPN_00014 272620.KPN_00041 323
272620.KPN_00041 272620.KPN_00014 323
272620.KPN_00014 272620.KPN_00046 305
272620.KPN_00046 272620.KPN_00014 305
272620.KPN_00014 272620.KPN_00052 905
272620.KPN_00052 272620.KPN_00014 905
272620.KPN_00014 272620.KPN_00076 622
272620.KPN_00076 272620.KPN_00014 622
272620.KPN_00014 272620.KPN_00099 840
272620.KPN_00099 272620.KPN_00014 840
272620.KPN_00014 272620.KPN_00102 625
272620.KPN_00102 272620.KPN_00014 625
272620.KPN_00014 272620.KPN_00128 273
272620.KPN_00128 272620.KPN_00014 273
272620.KPN_00014 272620.KPN_00148 281
272620.KPN_00148 272620.KPN_00014 281
272620.KPN_00014 272620.KPN_00190 153
272620.KPN_00190 272620.KPN_00014 153
272620.KPN_00014 272620.KPN_00210 194
272620.KPN_00210 272620.KPN_00014 194
272620.KPN_00014 272620.KPN_00327 825
272620.KPN_00327 272620.KPN_00014 825
272620.KPN_00014 272620.KPN_00373 204
272620.KPN_00373 272620.KPN_00014 204
272620.KPN_00014 272620.KPN_00377 437
272620.KPN_00377 272620.KPN_00014 437
272620.KPN_00014 272620.KPN_00398 864
272620.KPN_00398 272620.KPN_00014 864
272620.KPN_00014 272620.KPN_00411 205
272620.KPN_00411 272620.KPN_00014 205
272620.KPN_00014 272620.KPN_00412 205
272620.KPN_00412 272620.KPN_00014 205
272620.KPN_00014 272620.KPN_00455 949
272620.KPN_00455 272620.KPN_00014 949
272620.KPN_00014 272620.KPN_00481 319
272620.KPN_00481 272620.KPN_00014 319
272620.KPN_00014 272620.KPN_00530 406
272620.KPN_00530 272620.KPN_00014 406
272620.KPN_00014 272620.KPN_00642 173
272620.KPN_00642 272620.KPN_00014 173
272620.KPN_00014 272620.KPN_00703 844
272620.KPN_00703 272620.KPN_00014 844
272620.KPN_00014 272620.KPN_00731 278
272620.KPN_00731 272620.KPN_00014 278
272620.KPN_00014 272620.KPN_00734 269
272620.KPN_00734 272620.KPN_00014 269
272620.KPN_00014 272620.KPN_00735 374
272620.KPN_00735 272620.KPN_00014 374
272620.KPN_00014 272620.KPN_00914 360
272620.KPN_00914 272620.KPN_00014 360
272620.KPN_00014 272620.KPN_00915 647
272620.KPN_00915 272620.KPN_00014 647
272620.KPN_00014 272620.KPN_00926 173
272620.KPN_00926 272620.KPN_00014 173
272620.KPN_00014 272620.KPN_00938 490
272620.KPN_00938 272620.KPN_00014 490
272620.KPN_00014 272620.KPN_00941 205
272620.KPN_00941 272620.KPN_00014 205
272620.KPN_00014 272620.KPN_00955 214
272620.KPN_00955 272620.KPN_00014 214
272620.KPN_00014 272620.KPN_00986 897
272620.KPN_00986 272620.KPN_00014 897
272620.KPN_00014 272620.KPN_01083 360
272620.KPN_01083 272620.KPN_00014 360
272620.KPN_00014 272620.KPN_01117 425
272620.KPN_01117 272620.KPN_00014 425
272620.KPN_00014 272620.KPN_01190 175
272620.KPN_01190 272620.KPN_00014 175
272620.KPN_00014 272620.KPN_01236 628
272620.KPN_01236 272620.KPN_00014 628
272620.KPN_00014 272620.KPN_01297 301
272620.KPN_01297 272620.KPN_00014 301
272620.KPN_00014 272620.KPN_01321 156
272620.KPN_01321 272620.KPN_00014 156
272620.KPN_00014 272620.KPN_01328 727
272620.KPN_01328 272620.KPN_00014 727
272620.KPN_00014 272620.KPN_01365 214
272620.KPN_01365 272620.KPN_00014 214
272620.KPN_00014 272620.KPN_01401 267
272620.KPN_01401 272620.KPN_00014 267
272620.KPN_00014 272620.KPN_01467 266
272620.KPN_01467 272620.KPN_00014 266
272620.KPN_00014 272620.KPN_01484 281
272620.KPN_01484 272620.KPN_00014 281
272620.KPN_00014 272620.KPN_01517 371
272620.KPN_01517 272620.KPN_00014 371
272620.KPN_00014 272620.KPN_01580 173
272620.KPN_01580 272620.KPN_00014 173
272620.KPN_00014 272620.KPN_01803 404
272620.KPN_01803 272620.KPN_00014 404
272620.KPN_00014 272620.KPN_01805 264
272620.KPN_01805 272620.KPN_00014 264
272620.KPN_00014 272620.KPN_01847 625
272620.KPN_01847 272620.KPN_00014 625
272620.KPN_00014 272620.KPN_01985 396
272620.KPN_01985 272620.KPN_00014 396
272620.KPN_00014 272620.KPN_01992 826
272620.KPN_01992 272620.KPN_00014 826
272620.KPN_00014 272620.KPN_02075 264
272620.KPN_02075 272620.KPN_00014 264
272620.KPN_00014 272620.KPN_02133 219
272620.KPN_02133 272620.KPN_00014 219
272620.KPN_00014 272620.KPN_02141 702
272620.KPN_02141 272620.KPN_00014 702
272620.KPN_00014 272620.KPN_02167 175
272620.KPN_02167 272620.KPN_00014 175
272620.KPN_00014 272620.KPN_02243 352
272620.KPN_02243 272620.KPN_00014 352
272620.KPN_00014 272620.KPN_02316 215
272620.KPN_02316 272620.KPN_00014 215
272620.KPN_00014 272620.KPN_02333 681
272620.KPN_02333 272620.KPN_00014 681
272620.KPN_00014 272620.KPN_02354 305
272620.KPN_02354 272620.KPN_00014 305
272620.KPN_00014 272620.KPN_02369 219
272620.KPN_02369 272620.KPN_00014 219
272620.KPN_00014 272620.KPN_02380 404
272620.KPN_02380 272620.KPN_00014 404
272620.KPN_00014 272620.KPN_02449 608
272620.KPN_02449 272620.KPN_00014 608
272620.KPN_00014 272620.KPN_02470 299
