ALL	0.7460901135755786	0.740169338754065	0.7520108883970923
AMP	0.7323383922258861	0.6986033083418829	0.7660734761098894
AUG	0.7700456005392597	0.7277124035906909	0.8123787974878286
AXO	0.7609490916636382	0.7057893547085996	0.8161088286186768
CHL	0.4958548905761517	0.44916329461316085	0.5425464865391425
FIS	0.7929611650720707	0.7384561769420862	0.8474661532020552
FOX	0.7560097767975409	0.7068731259545076	0.8051464276405742
GEN	0.6088961600861807	0.5607479154485951	0.6570444047237664
KAN	0.5895665445665446	0.4100524177450994	0.7690806713879897
STR	0.7133307434831824	0.6401702790821581	0.7864912078842067
TET	0.7877106858345939	0.7369545370705186	0.8384668345986692
TIO	0.7812683771744687	0.7547893373507012	0.8077474169982363
