Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.7439465570400822	0.7091658288687702	0.7787272852113941	699
AUG	0.8212121212121213	0.7838218425999965	0.858602399824246	660
AXO	0.8141574278571063	0.7659081504133398	0.8624067053008728	699
CHL	0.6769858308286818	0.6106298477455838	0.7433418139117798	681
FIS	0.7990957134468585	0.7480631358530164	0.8501282910407005	652
FOX	0.819538906773323	0.7779661884730896	0.8611116250735563	676
GEN	0.7185126414894742	0.668555684445593	0.7684695985333555	689
KAN	0.6521739130434783	0.4466036677382675	0.8577441583486891	115
STR	0.7286075949367088	0.6591109655537436	0.798104224319674	398
TET	0.79136690647482	0.7420337153877525	0.8407000975618875	695
TIO	0.8349845837615621	0.8095047296261216	0.8604644378970027	697
all	0.774508942550953	0.7705356478421922	0.7784822372597139	6661
