Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.7422153209109731	0.7135899472835254	0.7708406945384207	698
AUG	0.8133587786259543	0.779768386726537	0.8469491705253716	659
AXO	0.8327132579650565	0.749832365180907	0.9155941507492059	699
CHL	0.8266960068699014	0.7651088973753725	0.8882831163644304	681
FIS	0.7872342924251321	0.7408186633214384	0.8336499215288258	653
FOX	0.8359803921568627	0.7728739255396183	0.8990868587741071	677
GEN	0.6927853591452449	0.6520406019834075	0.7335301163070822	687
KAN	0.6637681159420289	0.5936101818211862	0.7339260500628716	116
STR	0.7566631504922643	0.7164132984780492	0.7969130025064793	399
TET	0.7595311080328284	0.7030243819706251	0.8160378340950317	695
TIO	0.8364234326824255	0.7888809394559935	0.8839659259088575	697
all	0.787420053211501	0.7661943743826602	0.8086457320403417	6661
