Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.7718763126145045	0.7166662620064721	0.8270863632225369	697
AUG	0.825560953041869	0.7743716639658358	0.8767502421179023	659
AXO	0.8353648509763618	0.7673062833242827	0.9034234186284409	698
CHL	0.8179441184421863	0.785758837261738	0.8501293996226346	681
FIS	0.7814292772734099	0.7637429955135775	0.7991155590332424	654
FOX	0.8316230936819172	0.7966021174073817	0.8666440699564527	677
GEN	0.6851844419138649	0.6319040318630793	0.7384648519646504	686
KAN	0.6550724637681159	0.5840009530809698	0.726143974455262	119
STR	0.7437169870292234	0.720445080232876	0.7669888938255708	398
TET	0.7701285431282304	0.7140194521841661	0.8262376340722948	696
TIO	0.8290236382322712	0.808675718236151	0.8493715582283914	696
all	0.788620240645747	0.7765604037665821	0.8006800775249119	6661
