Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.7504419321685509	0.7169547852229623	0.7839290791141396	697
AUG	0.7757575757575758	0.7171645371886632	0.8343506143264883	660
AXO	0.8424563206577595	0.8046494608691004	0.8802631804464187	698
CHL	0.8249924220896089	0.7712859813448195	0.8786988628343982	681
FIS	0.7723076923076923	0.7188718197398157	0.8257435648755688	650
FOX	0.8261655773420479	0.7910838932385142	0.8612472614455815	679
GEN	0.7529144187030573	0.7472416231160421	0.7585872142900725	688
KAN	0.6463768115942029	0.5858853302250416	0.7068682929633642	116
STR	0.7424999999999999	0.6903260973190983	0.7946739026809015	400
TET	0.7429253615740947	0.6678459785758014	0.818004744572388	696
TIO	0.8290197655540166	0.7682628008826342	0.8897767302253989	696
all	0.785468213900322	0.7755090589815572	0.7954273688190867	6661
