Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.7497467800835319	0.6930104348447175	0.8064831253223463	699
AUG	0.803030303030303	0.747779358684811	0.8582812473757949	660
AXO	0.8016752312435764	0.7698622292576114	0.8334882332295415	696
CHL	0.7601152139687992	0.6889337841349135	0.831296643802685	683
FIS	0.7889019377568995	0.7426512253018772	0.8351526502119219	654
FOX	0.7903376906318083	0.7543369010916516	0.8263384801719649	677
GEN	0.7365386649740824	0.6680547915270061	0.8050225384211587	687
KAN	0.7043478260869565	0.536211280628338	0.8724843715455749	115
STR	0.7435126582278482	0.6849190528487952	0.8021062636069012	398
TET	0.7440551409803834	0.6822847203193536	0.8058255616414132	695
TIO	0.7948564874808228	0.7405647710288458	0.8491482039327999	697
all	0.7710547006120898	0.7579317032247549	0.7841776979994247	6661
