Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.7485817060637205	0.7055094308697186	0.7916539812577225	696
AUG	0.7923615423012771	0.7351677001446262	0.849555384457928	660
AXO	0.8376464542651594	0.8227724376267167	0.8525204709036021	696
CHL	0.8389115500214684	0.7745953845266139	0.903227715516323	683
FIS	0.7803640634174986	0.7445917768546485	0.8161363499803488	651
FOX	0.8268876207199298	0.7846237215091201	0.8691515199307396	676
GEN	0.7299270072992701	0.6681239444740551	0.791730070124485	685
KAN	0.6192028985507246	0.5268216274025989	0.7115841696988504	118
STR	0.763566334678818	0.6926985461236047	0.8344341232340312	402
TET	0.7744295991778006	0.7153499375842886	0.8335092607713127	696
TIO	0.7993114080164441	0.7533592515978755	0.8452635644350126	698
all	0.7872688892943956	0.7701167271214615	0.8044210514673298	6661
