Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.8009146968139774	0.7645937904024823	0.8372356032254725	698
AUG	0.8512953967152441	0.8059282455745473	0.8966625478559409	659
AXO	0.8611921891058583	0.8309810469922183	0.8914033312194982	699
CHL	0.8898990983254617	0.8396379789037682	0.9401602177471551	681
FIS	0.7791192014092777	0.762896958394174	0.7953414444243814	652
FOX	0.841268006373362	0.8009608619992304	0.8815751507474935	674
GEN	0.751232412990585	0.66496927443594	0.8374955515452299	687
KAN	0.6471014492753623	0.5537666170751928	0.7404362814755318	119
STR	0.7529320987654321	0.6797910649529929	0.8260731325778713	401
TET	0.7611510791366907	0.7312560968724153	0.791046061400966	695
TIO	0.8391264131551901	0.784159446171158	0.8940933801392222	696
all	0.812341486272469	0.8007684324930603	0.8239145400518778	6661
