Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.7603905447070914	0.736119382853891	0.7846617065602919	697
AUG	0.8209229701596114	0.8011002033022006	0.8407457370170222	659
AXO	0.8350154162384378	0.7917962707357626	0.8782345617411129	697
CHL	0.8911764705882351	0.8620179646991937	0.9203349764772766	680
FIS	0.7733881385789783	0.7031181318445288	0.8436581453134278	653
FOX	0.8424074074074074	0.8078170793172303	0.8769977354975844	679
GEN	0.7123135512535703	0.651119307159367	0.7735077953477737	688
KAN	0.6693043478260869	0.5065298435783441	0.8320788520738298	118
STR	0.7503438037193311	0.7076542666367436	0.7930333408019186	400
TET	0.7376707329788343	0.6916584610281855	0.7836830049294832	694
TIO	0.8348201438848921	0.7958746244667791	0.8737656633030051	696
all	0.7953757583540029	0.7867274811141852	0.8040240355938205	6661
