Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.7236073997944502	0.6704025323795169	0.7768122672093836	698
AUG	0.8057714550080963	0.7309613037620436	0.880581606254149	659
AXO	0.8352415210688593	0.7939993597264233	0.8764836824112953	698
CHL	0.8647034969705644	0.8295761922098013	0.8998308017313275	680
FIS	0.7665766294773928	0.7178318354237573	0.8153214235310283	651
FOX	0.857156862745098	0.8127005956702593	0.9016131298199366	679
GEN	0.6947847244261081	0.6124698084073263	0.7770996404448898	688
KAN	0.6783623188405798	0.557850360008807	0.7988742776723528	118
STR	0.7493987341772153	0.7057985016510253	0.7929989667034052	399
TET	0.7334375977478886	0.6826042154193981	0.7842709800763792	694
TIO	0.8422610483042139	0.7904017826055723	0.8941203140028555	697
all	0.7868177629993085	0.7736698293553615	0.7999656966432555	6661
