Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.7418293936279547	0.6951834394640374	0.7884753477918721	697
AUG	0.8014654088378477	0.744652187781499	0.8582786298941963	660
AXO	0.8149434737923947	0.7860257352262383	0.8438612123585512	697
CHL	0.8183735633256793	0.7898840380666993	0.8468630885846594	683
FIS	0.7810754639762273	0.736839695003729	0.8253112329487255	653
FOX	0.792223848079862	0.7678835358923659	0.8165641602673581	674
GEN	0.7518248175182481	0.6948632319537872	0.8087864030827091	685
KAN	0.6721014492753624	0.62702935001193	0.7171735485387948	119
STR	0.7362962962962963	0.7044013787097619	0.7681912138828307	402
TET	0.7643268242548819	0.7381273321870304	0.7905263163227333	696
TIO	0.843203896510121	0.8164846390473168	0.8699231539729251	695
all	0.7845637084946913	0.7672059295744958	0.8019214874148867	6661
